City,County,Indicator,Category,CHR&R release year,Underlying data year / period,Value,Unit,Better direction,Nashville rank out of 9,Peer city average (excluding Nashville),Nashville difference from peer average,Nashville percent difference from peer average,Nashville vs peer average,Best performing city,Best performing value,Worst performing city,Worst performing value
Raleigh,"Wake County, NC",Broadband Access,Physical environment,2021,2015-2019,91.373709305,%,Higher is better,8,86.860603,-1.759351,-2.03,Worse,Raleigh,91.373709305,Dallas,81.096278199
Durham,"Durham County, NC",Broadband Access,Physical environment,2021,2015-2019,87.018967393,%,Higher is better,8,86.860603,-1.759351,-2.03,Worse,Raleigh,91.373709305,Dallas,81.096278199
Charlotte,"Mecklenburg County, NC",Broadband Access,Physical environment,2021,2015-2019,88.15121492,%,Higher is better,8,86.860603,-1.759351,-2.03,Worse,Raleigh,91.373709305,Dallas,81.096278199
Denver,"Denver County, CO",Broadband Access,Physical environment,2021,2015-2019,86.602366161,%,Higher is better,8,86.860603,-1.759351,-2.03,Worse,Raleigh,91.373709305,Dallas,81.096278199
Atlanta,"Fulton County, GA",Broadband Access,Physical environment,2021,2015-2019,85.563695881,%,Higher is better,8,86.860603,-1.759351,-2.03,Worse,Raleigh,91.373709305,Dallas,81.096278199
Fort Worth,"Tarrant County, TX",Broadband Access,Physical environment,2021,2015-2019,86.865127102,%,Higher is better,8,86.860603,-1.759351,-2.03,Worse,Raleigh,91.373709305,Dallas,81.096278199
Dallas,"Dallas County, TX",Broadband Access,Physical environment,2021,2015-2019,81.096278199,%,Higher is better,8,86.860603,-1.759351,-2.03,Worse,Raleigh,91.373709305,Dallas,81.096278199
Nashville,"Davidson County, TN",Broadband Access,Physical environment,2021,2015-2019,85.101251567,%,Higher is better,8,86.860603,-1.759351,-2.03,Worse,Raleigh,91.373709305,Dallas,81.096278199
Austin,"Travis County, TX",Severe Housing Cost Burden,Physical environment,2021,2015-2019,15.33307312,%,Lower is better,5,14.246321,-0.098624,-0.69,Better,Raleigh,10.519357262,Atlanta,16.30896887
Raleigh,"Wake County, NC",Severe Housing Cost Burden,Physical environment,2021,2015-2019,10.519357262,%,Lower is better,5,14.246321,-0.098624,-0.69,Better,Raleigh,10.519357262,Atlanta,16.30896887
Durham,"Durham County, NC",Severe Housing Cost Burden,Physical environment,2021,2015-2019,14.03153373,%,Lower is better,5,14.246321,-0.098624,-0.69,Better,Raleigh,10.519357262,Atlanta,16.30896887
Charlotte,"Mecklenburg County, NC",Severe Housing Cost Burden,Physical environment,2021,2015-2019,13.643031663,%,Lower is better,5,14.246321,-0.098624,-0.69,Better,Raleigh,10.519357262,Atlanta,16.30896887
Denver,"Denver County, CO",Severe Housing Cost Burden,Physical environment,2021,2015-2019,15.984467654,%,Lower is better,5,14.246321,-0.098624,-0.69,Better,Raleigh,10.519357262,Atlanta,16.30896887
Atlanta,"Fulton County, GA",Severe Housing Cost Burden,Physical environment,2021,2015-2019,16.30896887,%,Lower is better,5,14.246321,-0.098624,-0.69,Better,Raleigh,10.519357262,Atlanta,16.30896887
Fort Worth,"Tarrant County, TX",Severe Housing Cost Burden,Physical environment,2021,2015-2019,12.89951733,%,Lower is better,5,14.246321,-0.098624,-0.69,Better,Raleigh,10.519357262,Atlanta,16.30896887
Dallas,"Dallas County, TX",Severe Housing Cost Burden,Physical environment,2021,2015-2019,15.250618017,%,Lower is better,5,14.246321,-0.098624,-0.69,Better,Raleigh,10.519357262,Atlanta,16.30896887
Nashville,"Davidson County, TN",Severe Housing Cost Burden,Physical environment,2021,2015-2019,14.147697339,%,Lower is better,5,14.246321,-0.098624,-0.69,Better,Raleigh,10.519357262,Atlanta,16.30896887
Austin,"Travis County, TX",Life Expectancy,Health outcomes / well-being,2022,2018-2020,81.382475673,years,Higher is better,9,79.727125,-3.407014,-4.27,Worse,Raleigh,81.639840231,Nashville,76.320111921
Raleigh,"Wake County, NC",Life Expectancy,Health outcomes / well-being,2022,2018-2020,81.639840231,years,Higher is better,9,79.727125,-3.407014,-4.27,Worse,Raleigh,81.639840231,Nashville,76.320111921
Durham,"Durham County, NC",Life Expectancy,Health outcomes / well-being,2022,2018-2020,79.962184498,years,Higher is better,9,79.727125,-3.407014,-4.27,Worse,Raleigh,81.639840231,Nashville,76.320111921
Charlotte,"Mecklenburg County, NC",Life Expectancy,Health outcomes / well-being,2022,2018-2020,79.989319305,years,Higher is better,9,79.727125,-3.407014,-4.27,Worse,Raleigh,81.639840231,Nashville,76.320111921
Denver,"Denver County, CO",Life Expectancy,Health outcomes / well-being,2022,2018-2020,78.852156724,years,Higher is better,9,79.727125,-3.407014,-4.27,Worse,Raleigh,81.639840231,Nashville,76.320111921
Atlanta,"Fulton County, GA",Life Expectancy,Health outcomes / well-being,2022,2018-2020,79.034859281,years,Higher is better,9,79.727125,-3.407014,-4.27,Worse,Raleigh,81.639840231,Nashville,76.320111921
Fort Worth,"Tarrant County, TX",Life Expectancy,Health outcomes / well-being,2022,2018-2020,78.62667047,years,Higher is better,9,79.727125,-3.407014,-4.27,Worse,Raleigh,81.639840231,Nashville,76.320111921
Dallas,"Dallas County, TX",Life Expectancy,Health outcomes / well-being,2022,2018-2020,78.329497663,years,Higher is better,9,79.727125,-3.407014,-4.27,Worse,Raleigh,81.639840231,Nashville,76.320111921
Nashville,"Davidson County, TN",Life Expectancy,Health outcomes / well-being,2022,2018-2020,76.320111921,years,Higher is better,9,79.727125,-3.407014,-4.27,Worse,Raleigh,81.639840231,Nashville,76.320111921
Austin,"Travis County, TX",Infant Mortality,Health outcomes / well-being,2022,2014-2020,4.0891632738,"deaths per 1,000 live births",Lower is better,8,5.761759,1.253393,21.75,Worse,Austin,4.0891632738,Atlanta,7.0476904751
Raleigh,"Wake County, NC",Infant Mortality,Health outcomes / well-being,2022,2014-2020,5.4616298303,"deaths per 1,000 live births",Lower is better,8,5.761759,1.253393,21.75,Worse,Austin,4.0891632738,Atlanta,7.0476904751
Durham,"Durham County, NC",Infant Mortality,Health outcomes / well-being,2022,2014-2020,6.3753796856,"deaths per 1,000 live births",Lower is better,8,5.761759,1.253393,21.75,Worse,Austin,4.0891632738,Atlanta,7.0476904751
Charlotte,"Mecklenburg County, NC",Infant Mortality,Health outcomes / well-being,2022,2014-2020,5.8277552927,"deaths per 1,000 live births",Lower is better,8,5.761759,1.253393,21.75,Worse,Austin,4.0891632738,Atlanta,7.0476904751
Denver,"Denver County, CO",Infant Mortality,Health outcomes / well-being,2022,2014-2020,4.733281064,"deaths per 1,000 live births",Lower is better,8,5.761759,1.253393,21.75,Worse,Austin,4.0891632738,Atlanta,7.0476904751
Atlanta,"Fulton County, GA",Infant Mortality,Health outcomes / well-being,2022,2014-2020,7.0476904751,"deaths per 1,000 live births",Lower is better,8,5.761759,1.253393,21.75,Worse,Austin,4.0891632738,Atlanta,7.0476904751
Fort Worth,"Tarrant County, TX",Infant Mortality,Health outcomes / well-being,2022,2014-2020,6.1974459625,"deaths per 1,000 live births",Lower is better,8,5.761759,1.253393,21.75,Worse,Austin,4.0891632738,Atlanta,7.0476904751
Dallas,"Dallas County, TX",Infant Mortality,Health outcomes / well-being,2022,2014-2020,6.3617250733,"deaths per 1,000 live births",Lower is better,8,5.761759,1.253393,21.75,Worse,Austin,4.0891632738,Atlanta,7.0476904751
Nashville,"Davidson County, TN",Infant Mortality,Health outcomes / well-being,2022,2014-2020,7.0151521606,"deaths per 1,000 live births",Lower is better,8,5.761759,1.253393,21.75,Worse,Austin,4.0891632738,Atlanta,7.0476904751
Austin,"Travis County, TX",Poor or Fair Health,Health outcomes / well-being,2022,2019,16.9,%,Lower is better,7,17.825,2.375,13.32,Worse,Raleigh,14,Dallas,23.9
Raleigh,"Wake County, NC",Poor or Fair Health,Health outcomes / well-being,2022,2019,14,%,Lower is better,7,17.825,2.375,13.32,Worse,Raleigh,14,Dallas,23.9
Durham,"Durham County, NC",Poor or Fair Health,Health outcomes / well-being,2022,2019,17.7,%,Lower is better,7,17.825,2.375,13.32,Worse,Raleigh,14,Dallas,23.9
Charlotte,"Mecklenburg County, NC",Poor or Fair Health,Health outcomes / well-being,2022,2019,16.6,%,Lower is better,7,17.825,2.375,13.32,Worse,Raleigh,14,Dallas,23.9
Denver,"Denver County, CO",Poor or Fair Health,Health outcomes / well-being,2022,2019,15.7,%,Lower is better,7,17.825,2.375,13.32,Worse,Raleigh,14,Dallas,23.9
Atlanta,"Fulton County, GA",Poor or Fair Health,Health outcomes / well-being,2022,2019,17.4,%,Lower is better,7,17.825,2.375,13.32,Worse,Raleigh,14,Dallas,23.9
Fort Worth,"Tarrant County, TX",Poor or Fair Health,Health outcomes / well-being,2022,2019,20.4,%,Lower is better,7,17.825,2.375,13.32,Worse,Raleigh,14,Dallas,23.9
Dallas,"Dallas County, TX",Poor or Fair Health,Health outcomes / well-being,2022,2019,23.9,%,Lower is better,7,17.825,2.375,13.32,Worse,Raleigh,14,Dallas,23.9
Nashville,"Davidson County, TN",Poor or Fair Health,Health outcomes / well-being,2022,2019,20.2,%,Lower is better,7,17.825,2.375,13.32,Worse,Raleigh,14,Dallas,23.9
Austin,"Travis County, TX",Poor Physical Health Days,Health outcomes / well-being,2022,2019,3.3734768342,days per month,Lower is better,9,3.548945,0.731642,20.62,Worse,Raleigh,3.1199482988,Nashville,4.280587299
Raleigh,"Wake County, NC",Poor Physical Health Days,Health outcomes / well-being,2022,2019,3.1199482988,days per month,Lower is better,9,3.548945,0.731642,20.62,Worse,Raleigh,3.1199482988,Nashville,4.280587299
Durham,"Durham County, NC",Poor Physical Health Days,Health outcomes / well-being,2022,2019,3.5130674544,days per month,Lower is better,9,3.548945,0.731642,20.62,Worse,Raleigh,3.1199482988,Nashville,4.280587299
Charlotte,"Mecklenburg County, NC",Poor Physical Health Days,Health outcomes / well-being,2022,2019,3.4120669175,days per month,Lower is better,9,3.548945,0.731642,20.62,Worse,Raleigh,3.1199482988,Nashville,4.280587299
Denver,"Denver County, CO",Poor Physical Health Days,Health outcomes / well-being,2022,2019,3.328681542,days per month,Lower is better,9,3.548945,0.731642,20.62,Worse,Raleigh,3.1199482988,Nashville,4.280587299
Atlanta,"Fulton County, GA",Poor Physical Health Days,Health outcomes / well-being,2022,2019,3.7229126052,days per month,Lower is better,9,3.548945,0.731642,20.62,Worse,Raleigh,3.1199482988,Nashville,4.280587299
Fort Worth,"Tarrant County, TX",Poor Physical Health Days,Health outcomes / well-being,2022,2019,3.8214813364,days per month,Lower is better,9,3.548945,0.731642,20.62,Worse,Raleigh,3.1199482988,Nashville,4.280587299
Dallas,"Dallas County, TX",Poor Physical Health Days,Health outcomes / well-being,2022,2019,4.0999246723,days per month,Lower is better,9,3.548945,0.731642,20.62,Worse,Raleigh,3.1199482988,Nashville,4.280587299
Nashville,"Davidson County, TN",Poor Physical Health Days,Health outcomes / well-being,2022,2019,4.280587299,days per month,Lower is better,9,3.548945,0.731642,20.62,Worse,Raleigh,3.1199482988,Nashville,4.280587299
Austin,"Travis County, TX",Poor Mental Health Days,Health outcomes / well-being,2022,2019,3.8260840093,days per month,Lower is better,9,4.052033,0.826183,20.39,Worse,Denver,3.7889619622,Nashville,4.8782157719
Raleigh,"Wake County, NC",Poor Mental Health Days,Health outcomes / well-being,2022,2019,3.8171227604,days per month,Lower is better,9,4.052033,0.826183,20.39,Worse,Denver,3.7889619622,Nashville,4.8782157719
Durham,"Durham County, NC",Poor Mental Health Days,Health outcomes / well-being,2022,2019,4.0257970115,days per month,Lower is better,9,4.052033,0.826183,20.39,Worse,Denver,3.7889619622,Nashville,4.8782157719
Charlotte,"Mecklenburg County, NC",Poor Mental Health Days,Health outcomes / well-being,2022,2019,3.9835538448,days per month,Lower is better,9,4.052033,0.826183,20.39,Worse,Denver,3.7889619622,Nashville,4.8782157719
Denver,"Denver County, CO",Poor Mental Health Days,Health outcomes / well-being,2022,2019,3.7889619622,days per month,Lower is better,9,4.052033,0.826183,20.39,Worse,Denver,3.7889619622,Nashville,4.8782157719
Atlanta,"Fulton County, GA",Poor Mental Health Days,Health outcomes / well-being,2022,2019,4.4722732044,days per month,Lower is better,9,4.052033,0.826183,20.39,Worse,Denver,3.7889619622,Nashville,4.8782157719
Fort Worth,"Tarrant County, TX",Poor Mental Health Days,Health outcomes / well-being,2022,2019,4.2382079352,days per month,Lower is better,9,4.052033,0.826183,20.39,Worse,Denver,3.7889619622,Nashville,4.8782157719
Dallas,"Dallas County, TX",Poor Mental Health Days,Health outcomes / well-being,2022,2019,4.2642651467,days per month,Lower is better,9,4.052033,0.826183,20.39,Worse,Denver,3.7889619622,Nashville,4.8782157719
Nashville,"Davidson County, TN",Poor Mental Health Days,Health outcomes / well-being,2022,2019,4.8782157719,days per month,Lower is better,9,4.052033,0.826183,20.39,Worse,Denver,3.7889619622,Nashville,4.8782157719
Austin,"Travis County, TX",Adult Obesity,Health outcomes / well-being,2022,2019,25.2,%,Lower is better,7,29.8875,3.7125,12.42,Worse,Denver,22.2,Fort Worth,37.7
Raleigh,"Wake County, NC",Adult Obesity,Health outcomes / well-being,2022,2019,28.4,%,Lower is better,7,29.8875,3.7125,12.42,Worse,Denver,22.2,Fort Worth,37.7
Durham,"Durham County, NC",Adult Obesity,Health outcomes / well-being,2022,2019,34.4,%,Lower is better,7,29.8875,3.7125,12.42,Worse,Denver,22.2,Fort Worth,37.7
Charlotte,"Mecklenburg County, NC",Adult Obesity,Health outcomes / well-being,2022,2019,28.7,%,Lower is better,7,29.8875,3.7125,12.42,Worse,Denver,22.2,Fort Worth,37.7
Denver,"Denver County, CO",Adult Obesity,Health outcomes / well-being,2022,2019,22.2,%,Lower is better,7,29.8875,3.7125,12.42,Worse,Denver,22.2,Fort Worth,37.7
Atlanta,"Fulton County, GA",Adult Obesity,Health outcomes / well-being,2022,2019,29.4,%,Lower is better,7,29.8875,3.7125,12.42,Worse,Denver,22.2,Fort Worth,37.7
Fort Worth,"Tarrant County, TX",Adult Obesity,Health outcomes / well-being,2022,2019,37.7,%,Lower is better,7,29.8875,3.7125,12.42,Worse,Denver,22.2,Fort Worth,37.7
Dallas,"Dallas County, TX",Adult Obesity,Health outcomes / well-being,2022,2019,33.1,%,Lower is better,7,29.8875,3.7125,12.42,Worse,Denver,22.2,Fort Worth,37.7
Nashville,"Davidson County, TN",Adult Obesity,Health outcomes / well-being,2022,2019,33.6,%,Lower is better,7,29.8875,3.7125,12.42,Worse,Denver,22.2,Fort Worth,37.7
Austin,"Travis County, TX",Diabetes Prevalence,Health outcomes / well-being,2022,2019,10,%,Lower is better,8,10.5375,1.3625,12.93,Worse,Denver,8,Dallas,13.7
Raleigh,"Wake County, NC",Diabetes Prevalence,Health outcomes / well-being,2022,2019,8.8,%,Lower is better,8,10.5375,1.3625,12.93,Worse,Denver,8,Dallas,13.7
Durham,"Durham County, NC",Diabetes Prevalence,Health outcomes / well-being,2022,2019,10.8,%,Lower is better,8,10.5375,1.3625,12.93,Worse,Denver,8,Dallas,13.7
Charlotte,"Mecklenburg County, NC",Diabetes Prevalence,Health outcomes / well-being,2022,2019,10.3,%,Lower is better,8,10.5375,1.3625,12.93,Worse,Denver,8,Dallas,13.7
Denver,"Denver County, CO",Diabetes Prevalence,Health outcomes / well-being,2022,2019,8,%,Lower is better,8,10.5375,1.3625,12.93,Worse,Denver,8,Dallas,13.7
Atlanta,"Fulton County, GA",Diabetes Prevalence,Health outcomes / well-being,2022,2019,11,%,Lower is better,8,10.5375,1.3625,12.93,Worse,Denver,8,Dallas,13.7
Fort Worth,"Tarrant County, TX",Diabetes Prevalence,Health outcomes / well-being,2022,2019,11.7,%,Lower is better,8,10.5375,1.3625,12.93,Worse,Denver,8,Dallas,13.7
Dallas,"Dallas County, TX",Diabetes Prevalence,Health outcomes / well-being,2022,2019,13.7,%,Lower is better,8,10.5375,1.3625,12.93,Worse,Denver,8,Dallas,13.7
Nashville,"Davidson County, TN",Diabetes Prevalence,Health outcomes / well-being,2022,2019,11.9,%,Lower is better,8,10.5375,1.3625,12.93,Worse,Denver,8,Dallas,13.7
Austin,"Travis County, TX",Adult Smoking,Health behaviors,2022,2019,12,%,Lower is better,8,13.975,2.925,20.93,Worse,Austin,12,Nashville,16.9
Raleigh,"Wake County, NC",Adult Smoking,Health behaviors,2022,2019,12.6,%,Lower is better,8,13.975,2.925,20.93,Worse,Austin,12,Nashville,16.9
Durham,"Durham County, NC",Adult Smoking,Health behaviors,2022,2019,15.2,%,Lower is better,8,13.975,2.925,20.93,Worse,Austin,12,Nashville,16.9
Charlotte,"Mecklenburg County, NC",Adult Smoking,Health behaviors,2022,2019,14.9,%,Lower is better,8,13.975,2.925,20.93,Worse,Austin,12,Nashville,16.9
Denver,"Denver County, CO",Adult Smoking,Health behaviors,2022,2019,13.2,%,Lower is better,8,13.975,2.925,20.93,Worse,Austin,12,Nashville,16.9
Atlanta,"Fulton County, GA",Adult Smoking,Health behaviors,2022,2019,13.9,%,Lower is better,8,13.975,2.925,20.93,Worse,Austin,12,Nashville,16.9
Fort Worth,"Tarrant County, TX",Adult Smoking,Health behaviors,2022,2019,14.8,%,Lower is better,8,13.975,2.925,20.93,Worse,Austin,12,Nashville,16.9
Dallas,"Dallas County, TX",Adult Smoking,Health behaviors,2022,2019,15.2,%,Lower is better,8,13.975,2.925,20.93,Worse,Austin,12,Nashville,16.9
Nashville,"Davidson County, TN",Adult Smoking,Health behaviors,2022,2019,16.9,%,Lower is better,8,13.975,2.925,20.93,Worse,Austin,12,Nashville,16.9
Austin,"Travis County, TX",Physical Inactivity,Health behaviors,2022,2019,21.5,%,Lower is better,7,24.3125,2.5875,10.64,Worse,Denver,19.2,Dallas,32
Raleigh,"Wake County, NC",Physical Inactivity,Health behaviors,2022,2019,20.2,%,Lower is better,7,24.3125,2.5875,10.64,Worse,Denver,19.2,Dallas,32
Durham,"Durham County, NC",Physical Inactivity,Health behaviors,2022,2019,26.7,%,Lower is better,7,24.3125,2.5875,10.64,Worse,Denver,19.2,Dallas,32
Charlotte,"Mecklenburg County, NC",Physical Inactivity,Health behaviors,2022,2019,22.3,%,Lower is better,7,24.3125,2.5875,10.64,Worse,Denver,19.2,Dallas,32
Denver,"Denver County, CO",Physical Inactivity,Health behaviors,2022,2019,19.2,%,Lower is better,7,24.3125,2.5875,10.64,Worse,Denver,19.2,Dallas,32
Atlanta,"Fulton County, GA",Physical Inactivity,Health behaviors,2022,2019,23.8,%,Lower is better,7,24.3125,2.5875,10.64,Worse,Denver,19.2,Dallas,32
Fort Worth,"Tarrant County, TX",Physical Inactivity,Health behaviors,2022,2019,28.8,%,Lower is better,7,24.3125,2.5875,10.64,Worse,Denver,19.2,Dallas,32
Dallas,"Dallas County, TX",Physical Inactivity,Health behaviors,2022,2019,32,%,Lower is better,7,24.3125,2.5875,10.64,Worse,Denver,19.2,Dallas,32
Nashville,"Davidson County, TN",Physical Inactivity,Health behaviors,2022,2019,26.9,%,Lower is better,7,24.3125,2.5875,10.64,Worse,Denver,19.2,Dallas,32
Austin,"Travis County, TX",Excessive Drinking,Health behaviors,2022,2019,21.547810341,%,Lower is better,4,19.515268,-0.843084,-4.32,Better,Durham,16.365748563,Denver,23.769116301
Raleigh,"Wake County, NC",Excessive Drinking,Health behaviors,2022,2019,20.666489467,%,Lower is better,4,19.515268,-0.843084,-4.32,Better,Durham,16.365748563,Denver,23.769116301
Durham,"Durham County, NC",Excessive Drinking,Health behaviors,2022,2019,16.365748563,%,Lower is better,4,19.515268,-0.843084,-4.32,Better,Durham,16.365748563,Denver,23.769116301
Charlotte,"Mecklenburg County, NC",Excessive Drinking,Health behaviors,2022,2019,19.932570712,%,Lower is better,4,19.515268,-0.843084,-4.32,Better,Durham,16.365748563,Denver,23.769116301
Denver,"Denver County, CO",Excessive Drinking,Health behaviors,2022,2019,23.769116301,%,Lower is better,4,19.515268,-0.843084,-4.32,Better,Durham,16.365748563,Denver,23.769116301
Atlanta,"Fulton County, GA",Excessive Drinking,Health behaviors,2022,2019,17.180868418,%,Lower is better,4,19.515268,-0.843084,-4.32,Better,Durham,16.365748563,Denver,23.769116301
Fort Worth,"Tarrant County, TX",Excessive Drinking,Health behaviors,2022,2019,17.821902385,%,Lower is better,4,19.515268,-0.843084,-4.32,Better,Durham,16.365748563,Denver,23.769116301
Dallas,"Dallas County, TX",Excessive Drinking,Health behaviors,2022,2019,18.837633958,%,Lower is better,4,19.515268,-0.843084,-4.32,Better,Durham,16.365748563,Denver,23.769116301
Nashville,"Davidson County, TN",Excessive Drinking,Health behaviors,2022,2019,18.67218374,%,Lower is better,4,19.515268,-0.843084,-4.32,Better,Durham,16.365748563,Denver,23.769116301
Austin,"Travis County, TX",Insufficient Sleep,Health behaviors,2022,2018,31.929197618,%,Lower is better,9,33.97078,4.679477,13.78,Worse,Denver,30.276794009,Nashville,38.650257865
Raleigh,"Wake County, NC",Insufficient Sleep,Health behaviors,2022,2018,31.864850372,%,Lower is better,9,33.97078,4.679477,13.78,Worse,Denver,30.276794009,Nashville,38.650257865
Durham,"Durham County, NC",Insufficient Sleep,Health behaviors,2022,2018,36.678467961,%,Lower is better,9,33.97078,4.679477,13.78,Worse,Denver,30.276794009,Nashville,38.650257865
Charlotte,"Mecklenburg County, NC",Insufficient Sleep,Health behaviors,2022,2018,35.428052054,%,Lower is better,9,33.97078,4.679477,13.78,Worse,Denver,30.276794009,Nashville,38.650257865
Denver,"Denver County, CO",Insufficient Sleep,Health behaviors,2022,2018,30.276794009,%,Lower is better,9,33.97078,4.679477,13.78,Worse,Denver,30.276794009,Nashville,38.650257865
Atlanta,"Fulton County, GA",Insufficient Sleep,Health behaviors,2022,2018,35.636892514,%,Lower is better,9,33.97078,4.679477,13.78,Worse,Denver,30.276794009,Nashville,38.650257865
Fort Worth,"Tarrant County, TX",Insufficient Sleep,Health behaviors,2022,2018,33.025292914,%,Lower is better,9,33.97078,4.679477,13.78,Worse,Denver,30.276794009,Nashville,38.650257865
Dallas,"Dallas County, TX",Insufficient Sleep,Health behaviors,2022,2018,36.92669603,%,Lower is better,9,33.97078,4.679477,13.78,Worse,Denver,30.276794009,Nashville,38.650257865
Nashville,"Davidson County, TN",Insufficient Sleep,Health behaviors,2022,2018,38.650257865,%,Lower is better,9,33.97078,4.679477,13.78,Worse,Denver,30.276794009,Nashville,38.650257865
Austin,"Travis County, TX",Food Insecurity,Health behaviors,2022,2019,12.8,%,Lower is better,5,11.85,-0.35,-2.95,Better,Raleigh,10.1,Dallas,14
Raleigh,"Wake County, NC",Food Insecurity,Health behaviors,2022,2019,10.1,%,Lower is better,5,11.85,-0.35,-2.95,Better,Raleigh,10.1,Dallas,14
Durham,"Durham County, NC",Food Insecurity,Health behaviors,2022,2019,12.1,%,Lower is better,5,11.85,-0.35,-2.95,Better,Raleigh,10.1,Dallas,14
Charlotte,"Mecklenburg County, NC",Food Insecurity,Health behaviors,2022,2019,10.8,%,Lower is better,5,11.85,-0.35,-2.95,Better,Raleigh,10.1,Dallas,14
Denver,"Denver County, CO",Food Insecurity,Health behaviors,2022,2019,10.7,%,Lower is better,5,11.85,-0.35,-2.95,Better,Raleigh,10.1,Dallas,14
Atlanta,"Fulton County, GA",Food Insecurity,Health behaviors,2022,2019,11.3,%,Lower is better,5,11.85,-0.35,-2.95,Better,Raleigh,10.1,Dallas,14
Fort Worth,"Tarrant County, TX",Food Insecurity,Health behaviors,2022,2019,13,%,Lower is better,5,11.85,-0.35,-2.95,Better,Raleigh,10.1,Dallas,14
Dallas,"Dallas County, TX",Food Insecurity,Health behaviors,2022,2019,14,%,Lower is better,5,11.85,-0.35,-2.95,Better,Raleigh,10.1,Dallas,14
Nashville,"Davidson County, TN",Food Insecurity,Health behaviors,2022,2019,11.5,%,Lower is better,5,11.85,-0.35,-2.95,Better,Raleigh,10.1,Dallas,14
Austin,"Travis County, TX",Drug Overdose Deaths,Health behaviors,2022,2018-2020,14.202762084,"deaths per 100,000 population",Lower is better,9,16.838345,31.650126,187.96,Worse,Fort Worth,10.442427758,Nashville,48.488471614
Raleigh,"Wake County, NC",Drug Overdose Deaths,Health behaviors,2022,2018-2020,13.517819093,"deaths per 100,000 population",Lower is better,9,16.838345,31.650126,187.96,Worse,Fort Worth,10.442427758,Nashville,48.488471614
Durham,"Durham County, NC",Drug Overdose Deaths,Health behaviors,2022,2018-2020,17.710425226,"deaths per 100,000 population",Lower is better,9,16.838345,31.650126,187.96,Worse,Fort Worth,10.442427758,Nashville,48.488471614
Charlotte,"Mecklenburg County, NC",Drug Overdose Deaths,Health behaviors,2022,2018-2020,19.020749418,"deaths per 100,000 population",Lower is better,9,16.838345,31.650126,187.96,Worse,Fort Worth,10.442427758,Nashville,48.488471614
Denver,"Denver County, CO",Drug Overdose Deaths,Health behaviors,2022,2018-2020,28.817372654,"deaths per 100,000 population",Lower is better,9,16.838345,31.650126,187.96,Worse,Fort Worth,10.442427758,Nashville,48.488471614
Atlanta,"Fulton County, GA",Drug Overdose Deaths,Health behaviors,2022,2018-2020,16.606855874,"deaths per 100,000 population",Lower is better,9,16.838345,31.650126,187.96,Worse,Fort Worth,10.442427758,Nashville,48.488471614
Fort Worth,"Tarrant County, TX",Drug Overdose Deaths,Health behaviors,2022,2018-2020,10.442427758,"deaths per 100,000 population",Lower is better,9,16.838345,31.650126,187.96,Worse,Fort Worth,10.442427758,Nashville,48.488471614
Dallas,"Dallas County, TX",Drug Overdose Deaths,Health behaviors,2022,2018-2020,14.388350948,"deaths per 100,000 population",Lower is better,9,16.838345,31.650126,187.96,Worse,Fort Worth,10.442427758,Nashville,48.488471614
Nashville,"Davidson County, TN",Drug Overdose Deaths,Health behaviors,2022,2018-2020,48.488471614,"deaths per 100,000 population",Lower is better,9,16.838345,31.650126,187.96,Worse,Fort Worth,10.442427758,Nashville,48.488471614
Austin,"Travis County, TX",Access to Exercise Opportunities,Health behaviors,2022,2010 & 2021,94.761321766,%,Higher is better,9,92.305973,-6.280866,-6.80,Worse,Denver,98.934613885,Nashville,86.025106873
Raleigh,"Wake County, NC",Access to Exercise Opportunities,Health behaviors,2022,2010 & 2021,87.81688648,%,Higher is better,9,92.305973,-6.280866,-6.80,Worse,Denver,98.934613885,Nashville,86.025106873
Durham,"Durham County, NC",Access to Exercise Opportunities,Health behaviors,2022,2010 & 2021,86.743750631,%,Higher is better,9,92.305973,-6.280866,-6.80,Worse,Denver,98.934613885,Nashville,86.025106873
Charlotte,"Mecklenburg County, NC",Access to Exercise Opportunities,Health behaviors,2022,2010 & 2021,87.484178385,%,Higher is better,9,92.305973,-6.280866,-6.80,Worse,Denver,98.934613885,Nashville,86.025106873
Denver,"Denver County, CO",Access to Exercise Opportunities,Health behaviors,2022,2010 & 2021,98.934613885,%,Higher is better,9,92.305973,-6.280866,-6.80,Worse,Denver,98.934613885,Nashville,86.025106873
Atlanta,"Fulton County, GA",Access to Exercise Opportunities,Health behaviors,2022,2010 & 2021,92.613794984,%,Higher is better,9,92.305973,-6.280866,-6.80,Worse,Denver,98.934613885,Nashville,86.025106873
Fort Worth,"Tarrant County, TX",Access to Exercise Opportunities,Health behaviors,2022,2010 & 2021,94.416633408,%,Higher is better,9,92.305973,-6.280866,-6.80,Worse,Denver,98.934613885,Nashville,86.025106873
Dallas,"Dallas County, TX",Access to Exercise Opportunities,Health behaviors,2022,2010 & 2021,95.676605132,%,Higher is better,9,92.305973,-6.280866,-6.80,Worse,Denver,98.934613885,Nashville,86.025106873
Nashville,"Davidson County, TN",Access to Exercise Opportunities,Health behaviors,2022,2010 & 2021,86.025106873,%,Higher is better,9,92.305973,-6.280866,-6.80,Worse,Denver,98.934613885,Nashville,86.025106873
Austin,"Travis County, TX",Uninsured,Clinical care,2022,2019,16.479589886,%,Lower is better,5,15.051827,-1.667771,-11.08,Better,Raleigh,10.104411457,Dallas,25.082594055
